id,provider_id,category_id,title,slug,description,short_description,base_price_cents,pricing_type,duration_minutes,images,includes,why_choose,is_active,is_verified,is_featured,is_deleted,rating,total_reviews,total_bookings,verified_hours,created_at,updated_at,duration_days,duration_hours,total_duration_minutes,advance_payment_percentage,isRejected,max_booking_hours,max_parallel_bookings,milestones,min_booking_hours,rejectedAt,rejectionNote,service_location,excludes,platform_fee_percentage
2068fbb5-f807-4931-8a52-56af18196903,c3013b2a-9a7f-40fe-b87c-f2624a1117c9,e54b2e6e-af87-4b2f-9512-20314813671a,Deep Home Cleaning,deep-home-cleaning-1,"Professional deep cleaning of your entire home including kitchen, bathrooms and bedrooms.",Full home deep clean with eco products,149900,fixed,180,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.97,22,50,0,2026-04-03 19:41:50.590,2026-04-03 19:41:50.590,0,0,,0,f,,1,,,,,onsite,,
db4f2dda-db4f-45d3-a287-c1c53af5606d,fb02cc38-4895-49c4-966d-2fb6a67734b8,a8946753-adbb-463c-8c91-e19653b7d3f2,Party Makeup,party-makeup-2,HD or airbrush party makeup with hairstyling for events.,Party-ready HD makeup and styling,249900,fixed,90,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.01,29,47,0,2026-02-08 03:45:13.261,2026-02-08 03:45:13.261,0,0,,0,f,,1,,,,,online,,
9f607a3c-458d-4350-a754-30fc2045b99d,cf40a63e-88d6-4025-a946-b4352e1f0c05,cc4a0570-3b04-4b2a-a2e9-05ec4804431d,Refrigerator Repair,refrigerator-repair-3,"Fridge compressor, thermostat and gas leak repair by certified technicians.",Certified fridge repair service,44900,fixed,75,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.01,28,64,0,2026-01-20 14:12:21.702,2026-01-20 14:12:21.702,0,0,,0,f,,1,,,,,onsite,,
8addc76f-9b37-4d39-ad33-d4ad3bf429e5,edaa2dde-21bc-4704-ab2c-3e6bc3c97729,3f160228-51c8-4ecf-8a0a-57dfed1b0239,Newborn & Maternity Shoot,newborn-maternity-shoot-4,Artistic maternity and newborn portraits in natural or studio settings.,Artistic maternity and newborn portraits,899900,fixed,180,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.05,69,93,0,2026-04-23 06:24:17.742,2026-04-23 06:24:17.742,0,0,,0,f,,1,,,,,onsite,,
f5ef9f65-b02a-4150-b712-ddc29646cf85,157afe0e-6c85-4a77-9cfe-18d0ced2a45b,0e2acfd3-b488-493c-a54f-d3268eb73f66,Preschool Readiness,preschool-readiness-5,Activity-based learning for children aged 3-6 to prepare for school.,School readiness for ages 3-6,60000,hourly,45,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.55,3,28,0,2026-04-14 07:33:29.368,2026-04-14 07:33:29.368,0,0,,0,f,,1,,,,,online,,
f373acbf-28ed-4d70-a098-a171f2d146c8,ed83f202-2b48-4b1f-a319-ae3d00ffc26a,3683acb1-77f4-42bd-92e3-f5723891b482,Personal Fitness Training,personal-fitness-training-6,One-on-one personal training with customized workout and diet plan.,Custom personal training and diet,120000,hourly,60,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,f,f,4.29,105,140,0,2026-01-18 13:26:05.900,2026-01-18 13:26:05.900,0,0,,0,f,,1,,,,,online,,
e47f2986-e729-429e-bfc2-d83c9441fdeb,9dd20490-8ffb-4675-86a0-07f4dd2e4d7f,09219e10-8c5b-4ec3-ac67-83637c35bc83,Corporate Event Management,corporate-event-mgmt-7,"Full-scale corporate event planning: venue, AV, catering and logistics.",Corporate event planning and execution,2999900,custom,480,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.73,107,143,0,2026-01-30 12:14:03.699,2026-01-30 12:14:03.699,0,0,,0,f,,1,,,,,onsite,,
b41f7245-d64f-46ec-af93-8a50ab5e85b7,ca902de4-1b7a-4b03-b775-566bbb4c3a6c,5f7d1bd3-a25c-49c9-bb6f-3a3e49e624b4,Home Network Setup,home-network-setup-8,"Wi-Fi router setup, network optimization and connectivity troubleshooting.",Home Wi-Fi and network setup,39900,fixed,60,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,f,f,4.02,90,100,0,2026-02-21 23:16:36.872,2026-02-21 23:16:36.872,0,0,,0,f,,1,,,,,onsite,,
ed4cb010-e361-474c-b9f9-a888b423a48a,ac54e963-c6e2-4d2d-bf5c-75e3183b001e,e54b2e6e-af87-4b2f-9512-20314813671a,Post-Construction Cleanup,post-construction-cleanup-9,Full cleanup after renovation or construction work.,Post-renovation site cleanup,199900,fixed,240,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.22,90,133,0,2026-01-05 06:07:04.323,2026-01-05 06:07:04.323,0,0,,0,f,,1,,,,,onsite,,
9d453ab8-13e7-4487-8c66-65e381bfa1d6,32387b5c-40f4-4d28-b674-54c6946bb81d,a8946753-adbb-463c-8c91-e19653b7d3f2,Mehendi Design,mehendi-design-10,Intricate bridal or party mehendi designs by expert artists.,Expert bridal and party mehendi,79900,fixed,120,"[""https://images.unsplash.com/photo-1581578731548-c64695cc6952?w=400&h=300&fit=crop""]",,,t,t,t,f,4.58,54,60,0,2026-02-11 02:05:29.832,2026-02-11 02:05:29.832,0,0,,0,f,,1,,,,,onsite,,
